PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
LUX,01,1949,1949,1,b,65,5,RR,4000,O,433,.,.,.,0
LUX,01,1949,1949,1,b,70,5,RR,4000,O,567,.,.,.,0
LUX,01,1949,1949,1,b,75,5,RR,4000,O,518,.,.,.,0
LUX,01,1949,1949,1,b,80,5,RR,4000,O,405,.,.,.,0
LUX,01,1949,1949,1,b,85,+,RR,4000,O,254,.,.,.,0
LUX,01,1949,1949,1,f,0,1,RR,4000,O,78,.,.,.,0
LUX,01,1949,1949,1,f,1,4,RR,4000,O,22,.,.,.,0
LUX,01,1949,1949,1,f,5,5,RR,4000,O,6,.,.,.,0
LUX,01,1949,1949,1,f,10,5,RR,4000,O,10,.,.,.,0
LUX,01,1949,1949,1,f,15,5,RR,4000,O,13,.,.,.,0
LUX,01,1949,1949,1,f,20,5,RR,4000,O,21,.,.,.,0
LUX,01,1949,1949,1,f,25,5,RR,4000,O,18,.,.,.,0
LUX,01,1949,1949,1,f,30,5,RR,4000,O,16,.,.,.,0
LUX,01,1949,1949,1,f,35,5,RR,4000,O,27,.,.,.,0
LUX,01,1949,1949,1,f,40,5,RR,4000,O,36,.,.,.,0
LUX,01,1949,1949,1,f,45,5,RR,4000,O,63,.,.,.,0
LUX,01,1949,1949,1,f,50,5,RR,4000,O,86,.,.,.,0
LUX,01,1949,1949,1,f,55,5,RR,4000,O,101,.,.,.,0
LUX,01,1949,1949,1,f,60,5,RR,4000,O,125,.,.,.,0
LUX,01,1949,1949,1,f,65,5,RR,4000,O,205,.,.,.,0
LUX,01,1949,1949,1,f,70,5,RR,4000,O,275,.,.,.,0
LUX,01,1949,1949,1,f,75,5,RR,4000,O,254,.,.,.,0
LUX,01,1949,1949,1,f,80,5,RR,4000,O,218,.,.,.,0
LUX,01,1949,1949,1,f,85,+,RR,4000,O,151,.,.,.,0
LUX,01,1949,1949,1,m,0,1,RR,4000,O,116,.,.,.,0
LUX,01,1949,1949,1,m,1,4,RR,4000,O,23,.,.,.,0
LUX,01,1949,1949,1,m,5,5,RR,4000,O,9,.,.,.,0
LUX,01,1949,1949,1,m,10,5,RR,4000,O,13,.,.,.,0
LUX,01,1949,1949,1,m,15,5,RR,4000,O,21,.,.,.,0
LUX,01,1949,1949,1,m,20,5,RR,4000,O,24,.,.,.,0
LUX,01,1949,1949,1,m,25,5,RR,4000,O,13,.,.,.,0
LUX,01,1949,1949,1,m,30,5,RR,4000,O,31,.,.,.,0
LUX,01,1949,1949,1,m,35,5,RR,4000,O,47,.,.,.,0
LUX,01,1949,1949,1,m,40,5,RR,4000,O,79,.,.,.,0
LUX,01,1949,1949,1,m,45,5,RR,4000,O,101,.,.,.,0
LUX,01,1949,1949,1,m,50,5,RR,4000,O,102,.,.,.,0
LUX,01,1949,1949,1,m,55,5,RR,4000,O,141,.,.,.,0
LUX,01,1949,1949,1,m,60,5,RR,4000,O,189,.,.,.,0
LUX,01,1949,1949,1,m,65,5,RR,4000,O,228,.,.,.,0
LUX,01,1949,1949,1,m,70,5,RR,4000,O,292,.,.,.,0
LUX,01,1949,1949,1,m,75,5,RR,4000,O,264,.,.,.,0
LUX,01,1949,1949,1,m,80,5,RR,4000,O,187,.,.,.,0
LUX,01,1949,1949,1,m,85,+,RR,4000,O,103,.,.,.,0
LUX,01,1950,1950,1,b,0,1,RR,4000,O,201,.,.,.,0
LUX,01,1950,1950,1,b,1,4,RR,4000,O,33,.,.,.,0
LUX,01,1950,1950,1,b,5,5,RR,4000,O,16,.,.,.,0
LUX,01,1950,1950,1,b,10,5,RR,4000,O,17,.,.,.,0
LUX,01,1950,1950,1,b,15,5,RR,4000,O,30,.,.,.,0
LUX,01,1950,1950,1,b,20,5,RR,4000,O,34,.,.,.,0
LUX,01,1950,1950,1,b,25,5,RR,4000,O,43,.,.,.,0
LUX,01,1950,1950,1,b,30,5,RR,4000,O,43,.,.,.,0
LUX,01,1950,1950,1,b,35,5,RR,4000,O,78,.,.,.,0
LUX,01,1950,1950,1,b,40,5,RR,4000,O,104,.,.,.,0
LUX,01,1950,1950,1,b,45,5,RR,4000,O,145,.,.,.,0
LUX,01,1950,1950,1,b,50,5,RR,4000,O,186,.,.,.,0
LUX,01,1950,1950,1,b,55,5,RR,4000,O,260,.,.,.,0
LUX,01,1950,1950,1,b,60,5,RR,4000,O,323,.,.,.,0
LUX,01,1950,1950,1,b,65,5,RR,4000,O,394,.,.,.,0
LUX,01,1950,1950,1,b,70,5,RR,4000,O,459,.,.,.,0
LUX,01,1950,1950,1,b,75,5,RR,4000,O,482,.,.,.,0
LUX,01,1950,1950,1,b,80,5,RR,4000,O,382,.,.,.,0
LUX,01,1950,1950,1,b,85,+,RR,4000,O,216,.,.,.,0
LUX,01,1950,1950,1,f,0,1,RR,4000,O,93,.,.,.,0
LUX,01,1950,1950,1,f,1,4,RR,4000,O,12,.,.,.,0
LUX,01,1950,1950,1,f,5,5,RR,4000,O,5,.,.,.,0
LUX,01,1950,1950,1,f,10,5,RR,4000,O,9,.,.,.,0
LUX,01,1950,1950,1,f,15,5,RR,4000,O,11,.,.,.,0
